occupation,avg_annual_growth,2019,2023,growth_2019_2023
Miscellaneous agricultural workers,-3.8972286374133946,866.0,731.0,-15.588914549653579
Veterinarians,-4.086538461538462,104.0,87.0,-16.346153846153847
Transportation inspectors,-4.166666666666666,42.0,35.0,-16.666666666666664
Painting workers,-4.239766081871345,171.0,142.0,-16.95906432748538
Security and fire alarm systems installers,-4.310344827586207,58.0,48.0,-17.24137931034483
Accountants and auditors,-4.327902240325866,1964.0,1624.0,-17.311608961303463
Parts salespersons,-4.401408450704225,142.0,117.0,-17.6056338028169
"Meter readers, utilities",-4.411764705882353,17.0,14.0,-17.647058823529413
Highway maintenance workers,-4.424778761061947,113.0,93.0,-17.699115044247787
Respiratory therapists,-4.464285714285714,112.0,92.0,-17.857142857142858
Machinists,-4.533333333333333,375.0,307.0,-18.133333333333333
"Butchers and other meat, poultry, and fish processing workers",-4.545454545454546,297.0,243.0,-18.181818181818183
New accounts clerks,-4.545454545454546,22.0,18.0,-18.181818181818183
Aircraft mechanics and service technicians,-4.605263157894736,152.0,124.0,-18.421052631578945
Counter and rental clerks,-4.639175257731959,97.0,79.0,-18.556701030927837
Cashiers,-4.646017699115045,3164.0,2576.0,-18.58407079646018
"Buyers and purchasing agents, farm products",-4.6875,16.0,13.0,-18.75
Water and wastewater treatment plant and system operators,-4.772727272727273,110.0,89.0,-19.090909090909093
Millwrights,-4.807692307692308,52.0,42.0,-19.230769230769234
Word processors and typists,-4.824561403508771,57.0,46.0,-19.298245614035086
"Library assistants, clerical",-4.829545454545454,88.0,71.0,-19.318181818181817
Home appliance repairers,-4.901960784313726,51.0,41.0,-19.607843137254903
"Personal care and service workers, all other",-4.915730337078652,178.0,143.0,-19.662921348314608
Technical writers,-4.918032786885246,61.0,49.0,-19.672131147540984
"Model makers and patternmakers, metal and plastic",-5.0,5.0,4.0,-20.0
Economists,-5.0,35.0,28.0,-20.0
Correspondence clerks,-5.0,5.0,4.0,-20.0
Probation officers and correctional treatment specialists,-5.154639175257731,97.0,77.0,-20.618556701030926
Massage therapists,-5.191256830601093,183.0,145.0,-20.76502732240437
Budget analysts,-5.392156862745098,51.0,40.0,-21.568627450980394
Agricultural and food scientists,-5.405405405405405,37.0,29.0,-21.62162162162162
"Credit authorizers, checkers, and clerks",-5.487804878048781,41.0,32.0,-21.951219512195124
Computer systems analysts,-5.656108597285068,663.0,513.0,-22.624434389140273
"Brickmasons, blockmasons, and stonemasons",-5.756578947368421,152.0,117.0,-23.026315789473685
Medical scientists,-5.88235294117647,170.0,130.0,-23.52941176470588
Forest and conservation workers,-5.952380952380952,21.0,16.0,-23.809523809523807
Bill and account collectors,-6.25,116.0,87.0,-25.0
Postsecondary teachers,-6.727994227994227,1386.0,1013.0,-26.911976911976907
